Broker,Date,Value
Exp Realty,Jan-31-2024,485.0
Exp Realty,Feb-29-2024,486.0
Exp Realty,Mar-31-2024,486.0
Exp Realty,Apr-30-2024,471.0
Exp Realty,May-31-2024,477.0
Exp Realty,Jun-30-2024,466.0
Exp Realty,Jul-31-2024,452.0
Exp Realty,Aug-31-2024,457.0
Exp Realty,Sep-30-2024,436.0
Exp Realty,Oct-31-2024,440.0
Exp Realty,Nov-30-2024,430.0
Exp Realty,Dec-31-2024,407.0
Exp Realty,Jan-31-2023,402.0
Exp Realty,Feb-28-2023,390.0
Exp Realty,Mar-31-2023,376.0
Exp Realty,Apr-30-2023,1112.0
Exp Realty,May-31-2023,1143.0
Exp Realty,Jun-30-2023,1129.0
Exp Realty,Jul-31-2023,1116.0
Exp Realty,Aug-31-2023,1094.0
Exp Realty,Sep-30-2023,1084.0
Exp Realty,Oct-31-2023,1042.0
Exp Realty,Nov-30-2023,1019.0
Exp Realty,Dec-31-2023,1005.0
Exp Realty,Jan-31-2022,948.0
Exp Realty,Feb-28-2022,925.0
Exp Realty,Mar-31-2022,903.0
Exp Realty,Apr-30-2022,901.0
Exp Realty,May-31-2022,882.0
Exp Realty,Jun-30-2022,858.0
Exp Realty,Jul-31-2022,804.0
Exp Realty,Aug-31-2022,783.0
Exp Realty,Sep-30-2022,735.0
Exp Realty,Oct-31-2022,699.0
Exp Realty,Nov-30-2022,667.0
Exp Realty,Dec-31-2022,607.0
Exp Realty,Jan-31-2021,573.0
Exp Realty,Feb-28-2021,542.0
Exp Realty,Mar-31-2021,524.0
Exp Realty,Apr-30-2021,509.0
Exp Realty,May-31-2021,466.0
Exp Realty,Jun-30-2021,422.0
Exp Realty,Jul-31-2021,394.0
Exp Realty,Aug-31-2021,360.0
Exp Realty,Sep-30-2021,325.0
Exp Realty,Oct-31-2021,233.0
Exp Realty,Nov-30-2021,222.0
Exp Realty,Dec-31-2021,217.0
Exp Realty,Jan-31-2020,211.0
Exp Realty,Feb-29-2020,207.0
Exp Realty,Mar-31-2020,201.0
Exp Realty,Apr-30-2020,195.0
Exp Realty,May-31-2020,200.0
Exp Realty,Jun-30-2020,194.0
Exp Realty,Jul-31-2020,164.0
Exp Realty,Aug-31-2020,154.0
Exp Realty,Sep-30-2020,151.0
Exp Realty,Oct-31-2020,145.0
Exp Realty,Nov-30-2020,129.0
Exp Realty,Dec-31-2020,142.0
Exp Realty,Jan-31-2019,133.0
Exp Realty,Feb-28-2019,121.0
Exp Realty,Mar-31-2019,121.0
Exp Realty,Apr-30-2019,114.0
Exp Realty,May-31-2019,114.0
Exp Realty,Jun-30-2019,112.0
Exp Realty,Jul-31-2019,106.0
Exp Realty,Aug-31-2019,102.0
Exp Realty,Sep-30-2019,98.0
Exp Realty,Oct-31-2019,
Exp Realty,Nov-30-2019,
Exp Realty,Dec-31-2019,
Exp Realty,Jan-31-2018,
Exp Realty,Feb-28-2018,
Exp Realty,Mar-31-2018,
Exp Realty,Apr-30-2018,
Exp Realty,May-31-2018,
Exp Realty,Jun-30-2018,
Exp Realty,Jul-31-2018,
Exp Realty,Aug-31-2018,
Exp Realty,Sep-30-2018,
Exp Realty,Oct-31-2018,
Exp Realty,Nov-30-2018,
Exp Realty,Dec-31-2018,
Exp Realty,Jan-31-2017,
REAL Broker,Jan-31-2024,153.0
REAL Broker,Feb-29-2024,133.0
REAL Broker,Mar-31-2024,135.0
REAL Broker,Apr-30-2024,127.0
REAL Broker,May-31-2024,125.0
REAL Broker,Jun-30-2024,122.0
REAL Broker,Jul-31-2024,118.0
REAL Broker,Aug-31-2024,118.0
REAL Broker,Sep-30-2024,116.0
REAL Broker,Oct-31-2024,117.0
REAL Broker,Nov-30-2024,117.0
REAL Broker,Dec-31-2024,106.0
REAL Broker,Jan-31-2023,104.0
REAL Broker,Feb-28-2023,99.0
REAL Broker,Mar-31-2023,95.0
REAL Broker,Apr-30-2023,643.0
REAL Broker,May-31-2023,643.0
REAL Broker,Jun-30-2023,614.0
REAL Broker,Jul-31-2023,590.0
REAL Broker,Aug-31-2023,564.0
REAL Broker,Sep-30-2023,546.0
REAL Broker,Oct-31-2023,501.0
REAL Broker,Nov-30-2023,480.0
REAL Broker,Dec-31-2023,
REAL Broker,Jan-31-2022,
REAL Broker,Feb-28-2022,
REAL Broker,Mar-31-2022,
REAL Broker,Apr-30-2022,
REAL Broker,May-31-2022,
REAL Broker,Jun-30-2022,
REAL Broker,Jul-31-2022,
REAL Broker,Aug-31-2022,
REAL Broker,Sep-30-2022,
REAL Broker,Oct-31-2022,
REAL Broker,Nov-30-2022,
REAL Broker,Dec-31-2022,
REAL Broker,Jan-31-2021,
REAL Broker,Feb-28-2021,
REAL Broker,Mar-31-2021,
REAL Broker,Apr-30-2021,
REAL Broker,May-31-2021,
REAL Broker,Jun-30-2021,
REAL Broker,Jul-31-2021,
REAL Broker,Aug-31-2021,
REAL Broker,Sep-30-2021,
REAL Broker,Oct-31-2021,
REAL Broker,Nov-30-2021,
REAL Broker,Dec-31-2021,
REAL Broker,Jan-31-2020,
REAL Broker,Feb-29-2020,
REAL Broker,Mar-31-2020,
REAL Broker,Apr-30-2020,
REAL Broker,May-31-2020,
REAL Broker,Jun-30-2020,
REAL Broker,Jul-31-2020,
REAL Broker,Aug-31-2020,
REAL Broker,Sep-30-2020,
REAL Broker,Oct-31-2020,
REAL Broker,Nov-30-2020,
REAL Broker,Dec-31-2020,
REAL Broker,Jan-31-2019,
REAL Broker,Feb-28-2019,
REAL Broker,Mar-31-2019,
REAL Broker,Apr-30-2019,
REAL Broker,May-31-2019,
REAL Broker,Jun-30-2019,
REAL Broker,Jul-31-2019,
REAL Broker,Aug-31-2019,
REAL Broker,Sep-30-2019,
REAL Broker,Oct-31-2019,
REAL Broker,Nov-30-2019,
REAL Broker,Dec-31-2019,
REAL Broker,Jan-31-2018,
REAL Broker,Feb-28-2018,
REAL Broker,Mar-31-2018,
REAL Broker,Apr-30-2018,
REAL Broker,May-31-2018,
REAL Broker,Jun-30-2018,
REAL Broker,Jul-31-2018,
REAL Broker,Aug-31-2018,
REAL Broker,Sep-30-2018,
REAL Broker,Oct-31-2018,
REAL Broker,Nov-30-2018,
REAL Broker,Dec-31-2018,
REAL Broker,Jan-31-2017,
MaxWell Polaris,Jan-31-2024,360.0
MaxWell Polaris,Feb-29-2024,357.0
MaxWell Polaris,Mar-31-2024,354.0
MaxWell Polaris,Apr-30-2024,351.0
MaxWell Polaris,May-31-2024,347.0
MaxWell Polaris,Jun-30-2024,349.0
MaxWell Polaris,Jul-31-2024,338.0
MaxWell Polaris,Aug-31-2024,332.0
MaxWell Polaris,Sep-30-2024,326.0
MaxWell Polaris,Oct-31-2024,320.0
MaxWell Polaris,Nov-30-2024,320.0
MaxWell Polaris,Dec-31-2024,319.0
MaxWell Polaris,Jan-31-2023,318.0
MaxWell Polaris,Feb-28-2023,319.0
MaxWell Polaris,Mar-31-2023,316.0
MaxWell Polaris,Apr-30-2023,312.0
MaxWell Polaris,May-31-2023,314.0
MaxWell Polaris,Jun-30-2023,314.0
MaxWell Polaris,Jul-31-2023,315.0
MaxWell Polaris,Aug-31-2023,312.0
MaxWell Polaris,Sep-30-2023,308.0
MaxWell Polaris,Oct-31-2023,314.0
MaxWell Polaris,Nov-30-2023,318.0
MaxWell Polaris,Dec-31-2023,316.0
MaxWell Polaris,Jan-31-2022,320.0
MaxWell Polaris,Feb-28-2022,317.0
MaxWell Polaris,Mar-31-2022,305.0
MaxWell Polaris,Apr-30-2022,304.0
MaxWell Polaris,May-31-2022,304.0
MaxWell Polaris,Jun-30-2022,306.0
MaxWell Polaris,Jul-31-2022,297.0
MaxWell Polaris,Aug-31-2022,298.0
MaxWell Polaris,Sep-30-2022,282.0
MaxWell Polaris,Oct-31-2022,285.0
MaxWell Polaris,Nov-30-2022,285.0
MaxWell Polaris,Dec-31-2022,276.0
MaxWell Polaris,Jan-31-2021,276.0
MaxWell Polaris,Feb-28-2021,274.0
MaxWell Polaris,Mar-31-2021,268.0
MaxWell Polaris,Apr-30-2021,267.0
MaxWell Polaris,May-31-2021,260.0
MaxWell Polaris,Jun-30-2021,253.0
MaxWell Polaris,Jul-31-2021,245.0
MaxWell Polaris,Aug-31-2021,246.0
MaxWell Polaris,Sep-30-2021,246.0
MaxWell Polaris,Oct-31-2021,244.0
MaxWell Polaris,Nov-30-2021,243.0
MaxWell Polaris,Dec-31-2021,235.0
MaxWell Polaris,Jan-31-2020,240.0
MaxWell Polaris,Feb-29-2020,238.0
MaxWell Polaris,Mar-31-2020,234.0
MaxWell Polaris,Apr-30-2020,234.0
MaxWell Polaris,May-31-2020,236.0
MaxWell Polaris,Jun-30-2020,234.0
MaxWell Polaris,Jul-31-2020,234.0
MaxWell Polaris,Aug-31-2020,232.0
MaxWell Polaris,Sep-30-2020,233.0
MaxWell Polaris,Oct-31-2020,230.0
MaxWell Polaris,Nov-30-2020,227.0
MaxWell Polaris,Dec-31-2020,233.0
MaxWell Polaris,Jan-31-2019,230.0
MaxWell Polaris,Feb-28-2019,226.0
MaxWell Polaris,Mar-31-2019,227.0
MaxWell Polaris,Apr-30-2019,219.0
MaxWell Polaris,May-31-2019,219.0
MaxWell Polaris,Jun-30-2019,226.0
MaxWell Polaris,Jul-31-2019,228.0
MaxWell Polaris,Aug-31-2019,229.0
MaxWell Polaris,Sep-30-2019,233.0
MaxWell Polaris,Oct-31-2019,231.0
MaxWell Polaris,Nov-30-2019,234.0
MaxWell Polaris,Dec-31-2019,236.0
