id,Broker,Date,Value
RE/MAX_Excellence_0,RE/MAX Excellence,2025-01-31,205.0
RE/MAX_Vision_Realty_1,RE/MAX Vision Realty,2025-01-31,11.0
RE/MAX_Real_Estate_2,RE/MAX Real Estate,2025-01-31,156.0
Initia_Real_Estate_3,Initia Real Estate,2025-01-31,302.0
Exp_Realty_4,Exp Realty,2025-01-31,478.0
Homes_&_Gardens_Real_Estate_Limited_5,Homes & Gardens Real Estate Limited,2025-01-31,170.0
MaxWell_Polaris_6,MaxWell Polaris,2025-01-31,366.0
RE/MAX_River_City_7,RE/MAX River City,2025-01-31,211.0
Ritchie_Bros._Real_Estate_Services_Ltd_8,Ritchie Bros. Real Estate Services Ltd,2025-01-31,2.0
Real_Broker_9,Real Broker,2025-01-31,203.0
Century_21_Quantum_Realty_10,Century 21 Quantum Realty,2025-01-31,23.0
Sterling_Real_Estate_11,Sterling Real Estate,2025-01-31,105.0
Royal_LePage_Gateway_Realty_12,Royal LePage Gateway Realty,2025-01-31,23.0
Diya_Real_Estate_13,Diya Real Estate,2025-01-31,10.0
MaxWell_Challenge_Realty_14,MaxWell Challenge Realty,2025-01-31,106.0
Sable_Realty_15,Sable Realty,2025-01-31,29.0
Royal_LePage_Noralta_Real_Estate_16,Royal LePage Noralta Real Estate,2025-01-31,182.0
Royal_Lepage_Premier_Real_Estate_17,Royal Lepage Premier Real Estate,2025-01-31,25.0
Local_Real_Estate_18,Local Real Estate,2025-01-31,15.0
NOW_Real_Estate_Group_19,NOW Real Estate Group,2025-01-31,74.0
Royal_Lepage_Arteam_Realty_20,Royal Lepage Arteam Realty,2025-01-31,153.0
Alta-Pro_Realty_21,Alta-Pro Realty,2025-01-31,9.0
Divine_Realty_22,Divine Realty,2025-01-31,3.0
2%_Realty_Pro_23,2% Realty Pro,2025-01-31,24.0
HouseSigma_Inc_24,HouseSigma Inc,2025-01-31,2.0
MaxWell_Progressive_25,MaxWell Progressive,2025-01-31,107.0
Realty_Focus_26,Realty Focus,2025-01-31,12.0
Logic_Realty_27,Logic Realty,2025-01-31,49.0
MaxWell_Reliant_Realty_28,MaxWell Reliant Realty,2025-01-31,1.0
MaxWell_Devonshire_Realty_29,MaxWell Devonshire Realty,2025-01-31,109.0
Hope_Street_Real_Estate_Corp_30,Hope Street Real Estate Corp,2025-01-31,5.0
Century_21_Leading_31,Century 21 Leading,2025-01-31,56.0
PREP_Realty_32,PREP Realty,2025-01-31,7.0
Mozaic_Realty_Group_33,Mozaic Realty Group,2025-01-31,35.0
Grassroots_Realty_Group_34,Grassroots Realty Group,2025-01-31,19.0
Venus_Realty_35,Venus Realty,2025-01-31,27.0
The_E_Group_Real_Estate_36,The E Group Real Estate,2025-01-31,21.0
NAI_Commercial_Real_Estate_Inc_37,NAI Commercial Real Estate Inc,2025-01-31,28.0
Northfield_Commercial_38,Northfield Commercial,2025-01-31,3.0
Rite_Realty_39,Rite Realty,2025-01-31,25.0
Blackmore_Real_Estate_40,Blackmore Real Estate,2025-01-31,23.0
CIR_Realty_41,CIR Realty,2025-01-31,24.0
Century_21_Masters_42,Century 21 Masters,2025-01-31,141.0
Zolo_Realty_43,Zolo Realty,2025-01-31,6.0
Wahi_Realty_Inc._44,Wahi Realty Inc.,2025-01-31,1.0
Maxwell_Heritage_Realty_45,Maxwell Heritage Realty,2025-01-31,13.0
Royal_Lepage_Benchmark_46,Royal Lepage Benchmark,2025-01-31,3.0
B.L.M._REALTY_47,B.L.M. REALTY,2025-01-31,3.0
2%_Realty_48,2% Realty,2025-01-31,5.0
Sweetly_49,Sweetly,2025-01-31,43.0
Greater_Property_Group_50,Greater Property Group,2025-01-31,15.0
Century_21_All_Stars_Realty_Ltd_51,Century 21 All Stars Realty Ltd,2025-01-31,97.0
RE/MAX_Grande_Prairie_52,RE/MAX Grande Prairie,2025-01-31,3.0
Century_21_Smart_Realty_53,Century 21 Smart Realty,2025-01-31,41.0
One_Percent_Realty_54,One Percent Realty,2025-01-31,12.0
Property_Plus_Realty_Ltd._55,Property Plus Realty Ltd.,2025-01-31,4.0
Century_21_Hi-Point_Realty_Ltd_56,Century 21 Hi-Point Realty Ltd,2025-01-31,11.0
RE/MAX_Elite_57,RE/MAX Elite,2025-01-31,195.0
Re/Max_Real_Estate_Central_58,Re/Max Real Estate Central,2025-01-31,6.0
Century_21_Signature_Realty_59,Century 21 Signature Realty,2025-01-31,22.0
Maxwell_Excel_Realty_60,Maxwell Excel Realty,2025-01-31,7.0
The_Good_Real_Estate_Company_61,The Good Real Estate Company,2025-01-31,32.0
Antoniuk_Real_Estate_Ltd_62,Antoniuk Real Estate Ltd,2025-01-31,2.0
Bermont_Realty_(1983)_Ltd_63,Bermont Realty (1983) Ltd,2025-01-31,9.0
Houseful_64,Houseful,2025-01-31,1.0
Realty_Unleashed_Inc_65,Realty Unleashed Inc,2025-01-31,4.0
Front_Door_Real_Estate_66,Front Door Real Estate,2025-01-31,4.0
Nationwide_Realty_Corp_67,Nationwide Realty Corp,2025-01-31,1.0
Liv_Real_Estate_68,Liv Real Estate,2025-01-31,54.0
Save_Max_Edge_69,Save Max Edge,2025-01-31,27.0
MaxWell_Canyon_Creek_70,MaxWell Canyon Creek,2025-01-31,4.0
Royal_LePage_METRO_71,Royal LePage METRO,2025-01-31,33.0
RE/MAX_PREFERRED_CHOICE_72,RE/MAX PREFERRED CHOICE,2025-01-31,29.0
KIC_Realty_73,KIC Realty,2025-01-31,15.0
SkaiRise_Realty_74,SkaiRise Realty,2025-01-31,3.0
Century_21_Bravo_Realty_75,Century 21 Bravo Realty,2025-01-31,14.0
MaxWell_Central_76,MaxWell Central,2025-01-31,4.0
Aban_Realty_and_Management_Ltd_77,Aban Realty and Management Ltd,2025-01-31,1.0
Capcity_Realty_Group_78,Capcity Realty Group,2025-01-31,2.0
Professional_Realty_Group_79,Professional Realty Group,2025-01-31,26.0
YEGPro_Realty_80,YEGPro Realty,2025-01-31,23.0
Coldwell_Banker_Mountain_Central_81,Coldwell Banker Mountain Central,2025-01-31,20.0
Royal_Lepage_Magna_82,Royal Lepage Magna,2025-01-31,27.0
Grand_Realty_83,Grand Realty,2025-01-31,13.0
RE/MAX_Platinum_Realty_84,RE/MAX Platinum Realty,2025-01-31,12.0
Century_21_Bamber_Realty_Ltd_85,Century 21 Bamber Realty Ltd,2025-01-31,4.0
Century_21_ALL_Stars_Realty_Ltd_86,Century 21 ALL Stars Realty Ltd,2025-01-31,97.0
Moore's_Realty_Ltd._87,Moore's Realty Ltd.,2025-01-31,4.0
Schmidt_Realty_Group_Inc_88,Schmidt Realty Group Inc,2025-01-31,27.0
RE/MAX_Rental_Advisors_89,RE/MAX Rental Advisors,2025-01-31,8.0
RE/MAX_Discover_90,RE/MAX Discover,2025-01-31,8.0
Anna_Bello_Realty_91,Anna Bello Realty,2025-01-31,1.0
Zenith_Asset_Management_Group_92,Zenith Asset Management Group,2025-01-31,1.0
Royal_LePage_Prestige_Realty_93,Royal LePage Prestige Realty,2025-01-31,36.0
MORE_Real_Estate_94,MORE Real Estate,2025-01-31,12.0
Tactic_Realty_95,Tactic Realty,2025-01-31,3.0
REW_Realty_96,REW Realty,2025-01-31,1.0
The_Foundry_Real_Estate_Company_Ltd_97,The Foundry Real Estate Company Ltd,2025-01-31,22.0
Century_21_Reward_Realty_98,Century 21 Reward Realty,2025-01-31,8.0
Spalk_Real_Estate_99,Spalk Real Estate,2025-01-31,15.0
Lux_Real_Estate_Inc_100,Lux Real Estate Inc,2025-01-31,9.0
Canadian_Real_Estate_Service_101,Canadian Real Estate Service,2025-01-31,3.0
REVERE_102,REVERE,2025-01-31,3.0
McLeod_Realty_&_Management_LTD_103,McLeod Realty & Management LTD,2025-01-31,10.0
RIGHT_Real_Estate_104,RIGHT Real Estate,2025-01-31,5.0
Park_Realty_105,Park Realty,2025-01-31,4.0
Keylo.ca_106,Keylo.ca,2025-01-31,2.0
Sutton_Premiere_Real_Estate_107,Sutton Premiere Real Estate,2025-01-31,4.0
Century_21_Alta_108,Century 21 Alta,2025-01-31,4.0
Sarasota_Realty_109,Sarasota Realty,2025-01-31,7.0
RE/MAX_Professionals_110,RE/MAX Professionals,2025-01-31,35.0
Century_21_Urban_Realty_111,Century 21 Urban Realty,2025-01-31,10.0
Carton_Realty_Ltd_112,Carton Realty Ltd,2025-01-31,3.0
Rimrock_Real_Estate_113,Rimrock Real Estate,2025-01-31,19.0
Royal_LePage_Solutions_114,Royal LePage Solutions,2025-01-31,3.0
Dreamhouse_Realty_Ltd._115,Dreamhouse Realty Ltd.,2025-01-31,5.0
Infinite_Realty_Service_116,Infinite Realty Service,2025-01-31,4.0
